week_start,trades,winners,losers,win_rate,total_pnl,total_r,equity,weekly_return_pct
2022-11-21,1,1,0,1.0,8.39,0.2603,8967.05,0.0937
2022-11-28,6,4,2,0.6667,100.47,3.1155,9067.52,1.1204
2022-12-05,8,1,7,0.125,-99.99,-3.0318,8967.53,-1.1027
2022-12-12,5,1,4,0.2,-123.6,-3.6254,8843.93,-1.3783
2022-12-19,3,1,2,0.3333,-16.87,-0.4872,8827.06,-0.1908
2022-12-26,2,2,0,1.0,68.75,2.0535,8895.81,0.7789
2023-01-02,0,0,0,,0.0,0.0,8895.81,0.0
2023-01-09,2,1,1,0.5,12.38,0.3586,8908.19,0.1392
2023-01-16,3,2,1,0.6667,79.24,2.3945,8987.43,0.8895
2023-01-23,3,1,2,0.3333,-18.16,-0.8324,8969.27,-0.2021
2023-01-30,7,6,1,0.8571,253.73,8.588,9223.0,2.8289
2023-02-06,5,1,4,0.2,-29.1,-0.7169,9193.9,-0.3155
2023-02-13,5,2,3,0.4,-25.01,-0.8871,9168.89,-0.272
2023-02-20,0,0,0,,0.0,0.0,9168.89,0.0
2023-02-27,4,2,2,0.5,10.86,0.3204,9179.75,0.1184
2023-03-06,6,0,6,0.0,-171.86,-5.1664,9007.89,-1.8722
2023-03-13,5,5,0,1.0,178.74,5.296,9186.63,1.9843
2023-03-20,5,1,4,0.2,-90.43,-2.714,9096.2,-0.9844
2023-03-27,5,0,5,0.0,-103.89,-3.1191,8992.31,-1.1421
2023-04-03,4,0,4,0.0,-97.25,-2.8991,8895.06,-1.0815
2023-04-10,6,4,2,0.6667,27.82,0.8652,8922.88,0.3128
2023-04-17,5,2,3,0.4,-97.76,-2.8251,8825.12,-1.0956
2023-04-24,5,2,3,0.4,-5.49,-0.161,8819.63,-0.0622
2023-05-01,4,1,3,0.25,-23.4,-1.0911,8796.23,-0.2653
2023-05-08,5,0,5,0.0,-123.68,-3.6181,8672.55,-1.4061
2023-05-15,6,5,1,0.8333,131.98,4.1441,8804.53,1.5218
2023-05-22,5,4,1,0.8,227.51,6.8744,9032.04,2.584
2023-05-29,0,0,0,,0.0,0.0,9032.04,0.0
2023-06-05,2,1,1,0.5,-0.22,-0.0314,9031.82,-0.0024
2023-06-12,7,5,2,0.7143,110.32,3.8939,9142.14,1.2215
2023-06-19,1,1,0,1.0,22.96,0.6653,9165.1,0.2511
2023-06-26,2,2,0,1.0,95.34,2.7708,9260.44,1.0403
2023-07-03,8,5,3,0.625,125.26,3.5847,9385.7,1.3526
2023-07-10,3,1,2,0.3333,48.67,1.3755,9434.37,0.5186
2023-07-17,6,3,3,0.5,53.17,1.209,9487.54,0.5636
2023-07-24,6,2,4,0.3333,-23.1,-0.8321,9464.44,-0.2435
2023-07-31,5,0,5,0.0,-117.65,-4.0233,9346.79,-1.2431
2023-08-07,4,1,3,0.25,-50.73,-1.4438,9296.06,-0.5428
