week_start,ticker,entry_date,exit_date,entry_price,exit_price,stop_price,target_price,shares,risk_per_share,pnl_dollars,r_multiple,exit_reason,ret_1w,ret_3w,rsi_14,atr_14,signal_score
2021-06-14,CAH,2021-06-14,2021-06-16,59.1491,57.4245,57.4819,62.4834,20,1.6671,-34.49,-1.0345,stop,0.048621,0.039614,61.5475,1.1114,0.922699
2021-06-21,DASH,2021-06-21,2021-06-25,167.6675,176.5433,154.7518,193.499,2,12.9157,17.75,0.6872,time,0.085431,0.094948,65.5141,8.6105,0.970318
2021-06-21,MTCH,2021-06-21,2021-06-25,154.6745,161.828,148.2112,167.6011,5,6.4633,35.77,1.1068,time,0.087236,0.076288,67.1326,4.3089,0.925795
2021-06-21,NDAQ,2021-06-21,2021-06-25,58.9989,59.2973,57.5354,61.9261,23,1.4636,6.86,0.2039,time,0.016479,0.059164,65.724,0.9757,0.914488
2021-06-21,ANET,2021-06-21,2021-06-25,22.8829,22.6161,22.2263,24.196,53,0.6566,-14.14,-0.4063,time,-0.002967,0.076501,68.1363,0.4377,0.895406
2021-06-21,PM,2021-06-21,2021-06-24,100.1,98.069,98.1671,103.9657,18,1.9329,-36.56,-1.0508,stop,0.006677,0.029168,66.0733,1.2886,0.879859
2021-06-28,DRI,2021-06-28,2021-07-02,144.8947,147.9819,138.9783,156.7276,5,5.9164,15.44,0.5218,time,0.107686,0.074245,60.3774,3.9443,0.971676
2021-06-28,BLDR,2021-06-28,2021-06-29,45.6056,43.4,43.4434,49.9298,16,2.1621,-35.29,-1.0201,stop,0.070819,0.058782,65.2134,1.4414,0.952601
2021-06-28,FANG,2021-06-28,2021-07-02,95.6255,97.9619,89.4262,108.0241,5,6.1993,11.68,0.3769,time,0.117545,0.122233,67.7019,4.1329,0.952023
2021-06-28,LYV,2021-06-28,2021-06-29,92.8528,89.1978,89.287,99.9842,9,3.5657,-32.9,-1.025,stop,0.081018,0.037651,59.6667,2.3771,0.912139
2021-06-28,OXY,2021-06-28,2021-07-02,32.6426,32.5474,30.4655,36.9969,16,2.1771,-1.52,-0.0437,time,0.175777,0.129375,67.5726,1.4514,0.901156
2021-07-12,COIN,2021-07-12,2021-07-14,254.254,235.7095,235.9454,290.8711,1,18.3086,-18.54,-1.0129,stop,0.051524,0.100668,61.8965,12.2057,0.975578
2021-07-12,VST,2021-07-12,2021-07-16,19.2292,18.7912,18.3372,21.0131,39,0.892,-17.08,-0.4911,time,0.023305,0.064463,66.1997,0.5946,0.915512
2021-07-12,COF,2021-07-12,2021-07-16,159.3392,157.3625,153.4656,171.0863,5,5.8736,-9.88,-0.3365,time,0.021635,0.045588,66.407,3.9157,0.912871
2021-07-12,LLY,2021-07-12,2021-07-16,235.4052,232.2275,227.7584,250.6987,4,7.6468,-12.71,-0.4155,time,0.016701,0.057513,69.8839,5.0979,0.907591
2021-07-12,PANW,2021-07-12,2021-07-16,65.3152,64.652,63.1063,69.7331,15,2.2089,-9.95,-0.3003,time,0.05274,0.048835,66.1158,1.4726,0.888449
2021-07-19,HON,2021-07-19,2021-07-23,212.9083,215.9196,207.5077,223.7094,6,5.4006,18.07,0.5576,time,0.026701,0.058064,67.9024,3.6004,0.950932
2021-07-19,CLX,2021-07-19,2021-07-21,186.4663,181.3637,181.5452,196.3084,7,4.9211,-35.72,-1.0369,stop,0.030075,0.080366,69.5039,3.2807,0.945342
2021-07-19,V,2021-07-19,2021-07-23,244.234,248.771,239.0108,254.6804,6,5.2232,27.22,0.8686,time,0.040466,0.050288,67.7865,3.4821,0.942236
2021-07-19,VRTX,2021-07-19,2021-07-20,202.3622,197.3025,197.5,212.0865,7,4.8621,-35.42,-1.0406,stop,0.020791,0.053871,69.9899,3.2414,0.929814
2021-07-19,ALB,2021-07-19,2021-07-21,174.3742,193.599,164.6649,193.7928,3,9.7093,57.67,1.98,target,0.029343,0.08851,64.3521,6.4729,0.909938
2021-07-26,PTC,2021-07-26,2021-07-27,152.142,146.607,146.7538,162.9184,6,5.3882,-33.21,-1.0272,stop,0.089087,0.067986,63.8827,3.5921,0.981303
2021-07-26,TTD,2021-07-26,2021-07-30,80.1491,81.8281,74.1672,92.1129,5,5.9819,8.4,0.2807,time,0.149108,0.058294,60.0891,3.9879,0.979037
2021-07-26,CRWD,2021-07-26,2021-07-30,267.8276,252.9897,253.2429,296.9968,2,14.5846,-29.68,-1.0174,stop,0.076012,0.070871,64.9062,9.7231,0.964306
2021-07-26,DDOG,2021-07-26,2021-07-30,110.7607,110.5893,105.6286,121.0247,6,5.132,-1.03,-0.0334,time,0.062978,0.063689,63.8372,3.4214,0.950708
2021-07-26,XYZ,2021-07-26,2021-07-27,265.235,250.9953,251.2465,293.2119,2,13.9885,-28.48,-1.018,stop,0.111485,0.091586,66.7153,9.3256,0.950142
2021-08-02,KLAC,2021-08-02,2021-08-06,348.5082,352.9967,330.8414,383.8417,1,17.6668,4.49,0.2541,time,0.085422,0.127607,66.3663,11.7779,0.993478
2021-08-02,NUE,2021-08-02,2021-08-06,104.8047,104.2057,99.769,114.8761,6,5.0357,-3.59,-0.119,time,0.102724,0.070495,63.9857,3.3571,0.977717
2021-08-02,ALGN,2021-08-02,2021-08-06,700.7,692.9763,667.0839,767.9321,1,33.6161,-7.72,-0.2298,time,0.090117,0.109393,64.6762,22.4107,0.969022
2021-08-02,PNR,2021-08-02,2021-08-06,74.064,77.0229,71.3876,79.4168,13,2.6764,38.47,1.1055,time,0.076103,0.063059,62.0513,1.7843,0.951087
2021-08-02,KKR,2021-08-02,2021-08-06,64.2942,67.5124,62.2382,68.4064,17,2.0561,54.71,1.5652,time,0.038098,0.078849,67.2234,1.3707,0.932065
2021-08-09,COIN,2021-08-09,2021-08-13,268.1179,260.9887,250.0471,304.2593,1,18.0707,-7.13,-0.3945,time,0.091639,0.147771,69.8095,12.0471,0.98498
2021-08-09,REGN,2021-08-09,2021-08-13,611.4608,624.1652,590.3558,653.6708,1,21.105,12.7,0.602,time,0.063086,0.047356,64.9726,14.07,0.942292
2021-08-09,WDC,2021-08-09,2021-08-10,52.0399,49.4912,49.5407,57.0383,14,2.4992,-35.68,-1.0198,stop,0.058987,0.071028,68.4345,1.6661,0.940711
2021-08-09,AWK,2021-08-09,2021-08-13,178.2781,178.7411,173.4235,187.9874,7,4.8546,3.24,0.0954,time,0.043149,0.054305,69.638,3.2364,0.939921
2021-08-09,SCHW,2021-08-09,2021-08-13,71.7116,73.936,68.9302,77.2745,12,2.7814,26.69,0.7997,time,0.058573,0.044128,69.4014,1.8543,0.927273
2021-08-16,PLTR,2021-08-16,2021-08-20,24.9249,23.986,23.3744,28.0258,22,1.5505,-20.66,-0.6056,time,0.141155,0.141678,67.4653,1.0336,0.994558
2021-08-16,MOS,2021-08-16,2021-08-17,33.1031,31.3296,31.3609,36.5874,20,1.7421,-35.47,-1.018,stop,0.065735,0.124288,67.2432,1.1614,0.930612
2021-08-16,URI,2021-08-16,2021-08-19,350.1498,332.3207,332.6534,385.1426,2,17.4964,-35.66,-1.019,stop,0.065349,0.089644,64.2792,11.6643,0.911565
2021-08-16,DASH,2021-08-16,2021-08-20,189.7295,177.7537,177.9316,213.3254,2,11.7979,-23.95,-1.0151,stop,0.072868,0.032821,60.7603,7.8653,0.895918
2021-08-16,MAS,2021-08-16,2021-08-18,62.5425,60.6625,60.7232,66.1811,19,1.8193,-35.72,-1.0334,stop,0.035909,0.047173,67.2632,1.2129,0.893197
2021-08-23,APP,2021-08-23,2021-08-27,70.6406,74.1258,64.707,82.5077,5,5.9336,17.43,0.5874,time,0.239284,0.138279,63.5997,3.9557,0.984615
2021-08-23,NVDA,2021-08-23,2021-08-27,20.992,22.6134,19.9534,23.069,33,1.0385,53.51,1.5612,time,0.031108,0.067542,60.1756,0.6924,0.972923
2021-08-23,TJX,2021-08-23,2021-08-27,74.3943,73.5664,71.5904,80.0022,12,2.8039,-9.94,-0.2953,time,0.050362,0.076006,69.7343,1.8693,0.955692
2021-08-23,LOW,2021-08-23,2021-08-27,209.0188,205.6941,200.4592,226.1381,4,8.5596,-13.3,-0.3884,time,0.092909,0.080544,64.0954,5.7064,0.953846
2021-08-23,CDNS,2021-08-23,2021-08-27,155.7956,162.3075,151.3567,164.6735,7,4.4389,45.58,1.467,time,0.0262,0.06109,69.4606,2.9593,0.940923
2021-08-30,DVN,2021-08-30,2021-09-01,30.4204,28.6399,28.6686,33.924,19,1.7518,-33.83,-1.0164,stop,0.181323,0.124028,68.0934,1.1679,0.985596
2021-08-30,CRWD,2021-08-30,2021-09-03,285.5953,277.9518,268.9081,318.9697,2,16.6872,-15.29,-0.458,time,0.186775,0.082726,60.1736,11.1248,0.947368
2021-08-30,CCL,2021-08-30,2021-09-03,24.6546,23.0929,23.1161,27.7318,22,1.5386,-34.36,-1.015,stop,0.108834,0.055026,59.6927,1.0257,0.936288
2021-08-30,NTAP,2021-08-30,2021-09-03,87.1671,91.2586,84.1403,93.2207,11,3.0268,45.01,1.3518,time,0.079212,0.059511,69.3795,2.0179,0.934072
2021-08-30,NVDA,2021-08-30,2021-09-03,22.8528,22.8202,21.7285,25.1015,31,1.1244,-1.01,-0.0291,time,0.087433,0.11146,68.1501,0.7496,0.924654
2021-09-13,FSLR,2021-09-13,2021-09-17,100.4904,103.916,96.3386,108.794,8,4.1518,27.4,0.8251,time,0.047855,0.06904,66.5759,2.7679,0.970909
2021-09-13,LULU,2021-09-13,2021-09-17,428.7383,426.1234,409.7001,466.8147,1,19.0382,-2.61,-0.1373,time,0.095811,0.073369,63.4905,12.6921,0.967879
2021-09-13,JBL,2021-09-13,2021-09-17,63.4534,61.6431,61.7048,66.9505,20,1.7486,-36.21,-1.0353,stop,0.023748,0.080515,69.3548,1.1657,0.950303
2021-09-13,TSCO,2021-09-13,2021-09-17,41.1151,41.3906,39.9498,43.4456,30,1.1653,8.26,0.2364,time,0.04729,0.050836,62.7652,0.7769,0.941212
2021-09-13,HLT,2021-09-13,2021-09-17,128.3883,131.0788,124.1786,136.8075,8,4.2096,21.52,0.6391,time,0.024198,0.068523,63.9841,2.8064,0.913939
2021-09-20,FANG,2021-09-20,2021-09-24,78.8588,89.2908,73.5981,89.3802,6,5.2607,62.59,1.983,target,0.101013,0.130542,61.9831,3.5071,0.969032
2021-09-20,CF,2021-09-20,2021-09-23,47.3673,51.6956,45.1773,51.7473,15,2.19,64.92,1.9764,target,0.075811,0.102875,68.6237,1.46,0.953548
2021-09-20,IVZ,2021-09-20,2021-09-21,25.1651,23.9893,24.0134,27.4687,30,1.1518,-35.27,-1.0208,stop,0.067073,0.051683,55.303,0.7679,0.949032
2021-09-20,EXE,2021-09-20,2021-09-24,59.7297,58.5314,56.8392,65.5107,12,2.8905,-14.38,-0.4146,time,0.025697,0.149878,68.5826,1.927,0.919355
2021-09-20,EQIX,2021-09-20,2021-09-24,862.6718,830.0987,830.9297,926.1561,1,31.7421,-32.57,-1.0262,stop,0.033863,0.057686,66.5009,21.1614,0.914839
2021-09-27,CRM,2021-09-27,2021-09-28,282.7224,273.909,274.1832,299.801,4,8.5393,-35.25,-1.0321,stop,0.096342,0.081317,68.6959,5.6929,0.990164
2021-09-27,APA,2021-09-27,2021-09-29,22.7327,21.1055,21.1266,25.9449,21,1.6061,-34.17,-1.0132,stop,0.087885,0.103778,61.7895,1.0707,0.974426
2021-09-27,DAL,2021-09-27,2021-10-01,43.9439,45.3346,41.9628,47.906,17,1.9811,23.64,0.702,time,0.085265,0.066389,65.3558,1.3207,0.961311
2021-09-27,CCL,2021-09-27,2021-10-01,25.986,26.0639,24.5267,28.9045,23,1.4593,1.79,0.0534,time,0.080255,0.059117,66.8937,0.9729,0.960656
2021-09-27,LUV,2021-09-27,2021-09-30,53.5535,51.2768,51.3281,58.0042,15,2.2254,-34.15,-1.0231,stop,0.076813,0.065524,69.0544,1.4836,0.945574
2021-10-04,VLO,2021-10-04,2021-10-08,74.3042,78.5214,70.7203,81.4721,9,3.5839,37.95,1.1767,time,0.08857,0.161016,69.0965,2.3893,0.981877
2021-10-04,DLTR,2021-10-04,2021-10-08,98.0479,98.7511,92.9319,108.2801,6,5.1161,4.22,0.1374,time,0.158978,0.086132,63.8942,3.4107,0.951456
2021-10-04,OXY,2021-10-04,2021-10-08,31.6716,33.5964,29.5984,35.8181,16,2.0732,30.8,0.9284,time,0.108541,0.246998,69.3632,1.3821,0.945631
2021-10-04,KEY,2021-10-04,2021-10-08,22.3924,22.947,21.5063,24.1645,39,0.8861,21.63,0.626,time,0.056764,0.124308,66.5984,0.5907,0.913916
2021-10-04,EQT,2021-10-04,2021-10-08,20.9309,20.8591,19.3013,24.1902,21,1.6296,-1.51,-0.0441,time,0.031516,0.062887,53.3609,1.0864,0.912621
